WPSNo,JointType,WeldingCode,Runid,Side,Position,Size,Class,Gas Flux Type,Current_min,Current_max,Voltage_min,Voltage_max,Polarity,Temperature_min,Tempertaure_max,TravelSpeed_min,TravelSpeed_max,HeatInput_min,HeatInput_max
8565,Fillet,AS/NZS 1554.1:2014,1,1,2F,0.9,ES-6,Argon/CO2/O2,216,264,26.1,29.9,DC+,14,14,206,278,1.3,2.3
7284,Fillet,AS/NZS 1554.1:2014,1,1,2F,0.9,ES-6,Argon/CO2/O2,216,264,26.1,29.9,DC+,0,250,425,575,0.6,1.1
7284,Fillet,AS/NZS 1554.1:2014,2,1,2F,0.9,ES-6,Argon/CO2/O2,194,263,26.1,29.9,DC+,0,250,268,362,0.9,1.5
7284,Fillet,AS/NZS 1554.1:2014,3,1,2F,0.9,ES-6,Argon/CO2/O2,194,263,26.1,29.9,DC+,0,250,348,470,0.7,1.2
8007,Single Vee Butt,AS/NZS 1554.1:2014,1,1,1G,0.9,ES-6,Argon/CO2/O2,99,121,17,19,DC+,0,250,242,328,0.57,0.57
8007,Single Vee Butt,AS/NZS 1554.1:2014,2,1,1G,0.9,ES-6,Argon/CO2/O2,180,220,24,28,DC+,0,250,424,574,0.57,0.57
